,y_test,y_pred,residual
1695,380,891.4840692235699,-511.4840692235699
6124,1144,4070.2008858645404,-2926.2008858645404
1190,700,4071.7199854518676,-3371.7199854518676
5118,806,4088.0568960000523,-3282.0568960000523
1683,771,4118.748412922828,-3347.748412922828
125,553,4148.763874362479,-3595.7638743624793
4990,1561,4430.064600348407,-2869.064600348407
3426,553,4468.803800237873,-3915.8038002378726
5036,1163,4542.0807376386665,-3379.0807376386665
2439,838,4664.032468598054,-3826.032468598054
5930,477,4680.1111409330115,-4203.1111409330115
1245,1163,6756.600090645102,-5593.600090645102
2406,797,7081.7706493836295,-6284.7706493836295
2707,1271,7095.860189355387,-5824.860189355387
1332,800,7174.16998895188,-6374.16998895188
4303,884,7510.828026137356,-6626.828026137356
656,619,7541.646183327387,-6922.646183327387
2604,983,7767.41469970244,-6784.41469970244
3939,1964,7778.872525700824,-5814.872525700824
2858,796,8401.823563393385,-7605.8235633933855
295,509,9608.250432060067,-9099.250432060067
6064,381,9778.533774242638,-9397.533774242638
1865,431,10389.698154299087,-9958.698154299087
5482,839,11687.803400450895,-10848.803400450895
5652,887,12089.104487812698,-11202.104487812698
5563,338,12201.171854341706,-11863.171854341706
3869,1995,12202.057214200668,-10207.057214200668
2478,2797,12212.162927982468,-9415.162927982468
985,1196,12233.212448613447,-11037.212448613447
124,1553,12302.859644197742,-10749.859644197742
2595,2401,13153.65218150855,-10752.65218150855
1290,1440,13384.384454870195,-11944.384454870195
1249,633,13734.103854016113,-13101.103854016113
3088,727,13915.877281613242,-13188.877281613242
1700,390,15288.171753139277,-14898.171753139277
3938,664,15622.055508302168,-14958.055508302168
5175,839,15988.288469148965,-15149.288469148965
2276,1248,16831.314077383096,-15583.314077383096
88,584,16872.144524000018,-16288.144524000018
5895,898,17457.570113522885,-16559.570113522885
5302,2196,17860.606039901257,-15664.606039901257
3969,1200,17901.140794072602,-16701.140794072602
2083,786,17902.319236467214,-17116.319236467214
1698,386,17955.34467452657,-17569.34467452657
3741,1083,19258.882050606302,-18175.882050606302
3636,1322,19487.186659166557,-18165.186659166557
2613,538,19698.347403574007,-19160.347403574007
782,575,19803.14096343323,-19228.14096343323
3577,1449,20135.08333334069,-18686.08333334069
5425,613,20484.771433810012,-19871.771433810012
1647,539,21701.98581863202,-21162.98581863202
1625,301,21830.727606586835,-21529.727606586835
5728,1200,22951.967238231133,-21751.967238231133
237,1077,23216.497318004192,-22139.497318004192
1497,1477,23660.581652035737,-22183.581652035737
2793,2858,24481.88295347486,-21623.88295347486
4591,1481,24651.67403336349,-23170.67403336349
232,1057,24665.56595174521,-23608.56595174521
806,550,24746.34080158232,-24196.34080158232
567,464,25420.264965766215,-24956.264965766215
4562,979,25978.821115277762,-24999.821115277762
3431,508,25997.682455795795,-25489.682455795795
5318,2839,26022.006480853193,-23183.006480853193
5125,563,26445.69207018413,-25882.69207018413
2960,550,26856.712478250713,-26306.712478250713
4468,429,27033.372965443214,-26604.372965443214
486,1479,27267.140337906254,-25788.140337906254
333,1850,27547.051005920108,-25697.051005920108
4720,1322,28042.55583207357,-26720.55583207357
6073,820,28752.80343691829,-27932.80343691829
6116,619,29432.33319336753,-28813.33319336753
4364,520,29613.441530722186,-29093.441530722186
2649,914,29925.078299108463,-29011.078299108463
304,611,31005.65123840664,-30394.65123840664
380,312,31066.58573673947,-30754.58573673947
