,neighbourhood_Azcapotzalco,neighbourhood_Benito Juárez,neighbourhood_Coyoacán,neighbourhood_Cuajimalpa de Morelos,neighbourhood_Cuauhtémoc,neighbourhood_Gustavo A. Madero,neighbourhood_Iztacalco,neighbourhood_Iztapalapa,neighbourhood_Miguel Hidalgo,neighbourhood_Milpa Alta,neighbourhood_Tlalpan,neighbourhood_Tláhuac,neighbourhood_Venustiano Carranza,neighbourhood_Xochimilco,neighbourhood_Álvaro Obregón,latitude,longitude,accommodates,bathrooms,beds,price,availability_365,number_of_reviews
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41162,-99.17794,14,4.0,6,6430,365,64
2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42910148014293,-99.16076301415174,2,1.5,1,3350,89,221
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.48321,-99.11241,2,1.0,1,339,86,6
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43221,-99.15708,2,1.5,2,1273,329,22
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.42833,-99.17634,2,2.0,2,1002,115,99
6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41083,-99.18057,2,1.0,1,1018,180,64
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.38021,-99.16878,2,1.0,1,950,345,237
8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41152,-99.16857,4,1.0,2,1794,329,46
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41301,-99.17819,4,1.5,2,1002,67,244
10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.26541,-99.11365,5,1.0,4,763,345,12
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.35448,-99.16217,2,1.0,1,1189,250,123
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43427,-99.13832,4,1.5,3,4755,117,1
13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43542,-99.13802,2,1.5,2,3608,117,1
14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43423,-99.13718,4,2.5,4,5604,117,4
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.43211,-99.19327,2,1.5,1,3191,312,11
16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.4492288,-99.1627377,2,1.0,2,1120,89,1
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43826,-99.1366,4,1.0,2,958,298,206
19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.40826,-99.18659,14,4.0,6,3736,207,275
20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.37845,-99.17221,4,2.0,3,950,306,59
21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41709,-99.16603,2,1.0,1,1620,162,275
22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39675,-99.17581,2,1.0,1,318,336,103
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.34735,-99.19016,2,1.0,1,2803,358,27
24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.44614,-99.15868,2,1.5,1,1697,0,0
25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.4239,-99.1689,2,1.5,1,1469,171,49
26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41936,-99.17281,3,1.0,1,1582,318,275
27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41501,-99.16565,3,1.0,2,1607,153,275
28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43149,-99.165543,3,1.0,1,1018,350,62
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.35106,-99.19789,4,2.5,2,5570,299,22
30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41057,-99.1773,2,1.0,1,6430,37,73
31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.40809,-99.18109,2,1.0,1,1500,0,0
32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.41499,-99.18215,6,2.5,3,6430,318,100
33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41095,-99.18215,1,1.0,1,1086,0,0
34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41919,-99.15894,2,1.0,1,1748,320,275
35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41554,-99.17927,3,1.0,2,800,219,191
36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41147,-99.17284,3,1.0,1,917,300,123
37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.4059,-99.17548,2,1.0,1,780,363,29
38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.44333,-99.18497,1,1.0,1,504,347,1
39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.41417,-99.11566,10,3.0,6,1009,346,107
40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.40491,-99.17177,2,1.0,2,764,172,56
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.34923,-99.19307,2,1.0,1,1900,354,35
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.34723,-99.19396,2,1.0,1,1700,365,53
43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.4236,-99.16979,3,1.0,2,1031,356,275
44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.433843596587437,-99.14464358214542,6,2.0,3,1400,269,265
45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.44226,-99.18406,4,1.0,2,1130,347,148
46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42335,-99.16963,2,1.0,1,983,1,268
47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43432,-99.14581,6,2.0,4,1244,163,275
48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41638,-99.16868,2,1.0,2,1103,321,8
49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43516,-99.13806,1,1.0,1,594,298,117
50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.38089,-99.17245,4,2.0,3,1000,328,95
51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41472,-99.15602,1,1.0,2,520,365,20
52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.40663,-99.18653,14,4.0,6,3736,207,275
53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43122,-99.15562,4,2.0,2,1875,135,275
54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.36823,-99.18607,4,1.5,4,950,328,3
55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.4418,-99.18402,6,2.0,3,1469,178,39
